idSenal,idColor
1,1
1,2
1,5
2,1
2,2
3,5
3,1
3,2
2,5
4,1
4,2
4,5
5,1
5,2
5,5
6,1
6,2
6,5
7,1
7,2
7,5
8,1
8,2
8,5
9,1
9,2
9,5
10,1
10,2
10,5
11,1
11,2
11,3
12,1
12,2
12,5
13,1
13,2
13,5
14,1
14,2
14,5
15,1
15,2
15,5
16,1
16,2
16,5
17,1
17,2
17,5
18,1
18,2
18,5
19,1
19,2
19,5
20,1
20,2
20,5
21,1
21,2
21,5
22,1
22,2
22,5
23,1
23,2
23,5
24,1
24,2
24,5
25,1
25,2
25,5
26,1
26,2
26,5
27,1
27,2
27,5
28,1
28,2
28,5
29,1
29,2
29,5
30,1
30,2
30,5
31,1
31,2
31,5
32,1
32,2
32,5
33,1
33,2
33,5
34,1
34,2
34,5
35,1
35,2
35,5
36,1
36,2
36,5
37,2
37,6
164,1
164,2
164,5
165,1
165,2
165,5
166,1
166,2
166,5
40,2
40,4
41,1
41,2
41,5
42,6
42,2
42,5
43,1
43,6
43,5
44,2
44,6
44,5
45,1
45,6
46,1
46,2
46,4
167,1
167,2
167,4
47,6
47,2
47,5
48,6
48,2
48,5
49,6
49,2
49,5
50,6
50,2
50,5
51,6
51,2
51,5
52,6
52,2
52,5
53,6
53,2
53,5
54,6
54,2
54,5
55,6
55,2
56,6
56,2
56,5
57,6
57,2
57,4
58,6
58,2
58,5
59,6
59,2
59,5
60,6
60,2
60,5
61,4
61,2
62,6
62,2
62,5
63,6
63,2
63,5
64,6
64,2
64,5
65,6
65,2
65,5
65,6
66,2
66,5
66,6
67,6
67,2
68,6
68,2
68,5
69,6
69,2
69,4
70,6
70,2
70,5
71,6
71,2
71,5
72,6
72,2
72,5
74,6
74,2
74,5
74,6
74,2
74,5
75,6
75,2
75,5
76,6
76,2
76,5
77,6
77,2
78,6
78,2
78,5
79,6
79,2
79,5
80,6
80,2
80,5
80,4
168,6
168,2
168,5
169,4
169,2
170,5
170,5
81,4
81,6
82,4
82,6
84,4
84,6
86,4
86,6
88,4
88,6
91,4
91,6
98,4
98,6
99,4
99,6
100,4
100,6
101,4
101,6
102,4
102,6
103,4
103,6
173,4
173,6
104,5
104,6
105,5
105,6
107,5
107,6
108,2
108,6
108,4
170,5
170,6
171,6
171,4
171,2
172,6
172,4
172,2
109,4
109,6
109,5
111,4
111,6
112,4
112,6
113,4
113,6
114,4
114,6
115,4
115,6
115,5
116,4
116,6
116,5
117,4
117,6
117,5
118,4
118,6
118,5
119,4
119,6
119,5
121,4
121,6
121,2
122,4
122,6
122,5
123,4
123,6
123,5
124,4
124,6
124,5
125,4
125,6
125,5
126,4
126,6
127,4
127,6
127,5
128,4
128,6
128,5
129,4
129,6
129,5
130,4
130,6
131,4
131,6
132,4
132,6
132,2
133,4
133,6
133,5
137,4
137,6
137,2
140,6
140,3
141,3
141,2
141,6
174,4
174,6
175,4
175,6
176,4
176,6
177,5
177,4
177,6
178,5
178,4
178,6
180,4
180,6
180,5
181,4
181,6
181,5
182,4
182,6
182,5
183,4
183,6
183,5
142,5
142,6
143,5
143,6
144,5
144,6
145,5
145,6
145,6
145,5
145,6
148,5
148,6
149,3
149,4
149,6
150,3
150,6
151,4
151,6
152,4
152,6
153,5
153,6
155,4
155,6
156,4
156,6
157,4
157,6
158,4
158,6
158,2
159,2
184,4
184,6
184,2
185,4
185,6
185,5
185,1
186,4
186,6
187,5
187,6
189,5
189,6
190,5
190,6
191,5
191,6
192,5
192,6
193,4
193,6
194,4
194,6
195,2
195,3
195,6
196,5
196,6
197,5
197,6
160,5
160,6
161,2
161,6
240,2
240,6
198,1
198,2
249,6
249,2
199,1
199,5
200,1
200,6
201,1
202,5
203,1
204,5
205,5
206,1
206,5
207,2
207,5
